Distritos;X;Y
CAIRANI;-17.18782902; -70.340823367
HUANUARA;-17.3085360239; -70.3304636173
TICACO;-17.3347529509; -69.9635994977
CALAMARCA;-8.12034236984; -78.3807799021
CARABAMBA;-8.14657722628; -78.5820152524
HUASO;-8.26159015644; -78.4405302161
PACASMAYO;-7.39980627264; -79.5478074004
TAYABAMBA;-8.31424759078; -77.2563529645
HUAYLILLAS;-8.19040476686; -77.2937068124
HUAYO;-8.03494391592; -77.5922415519
BAMBAMARCA;-7.46463607512; -77.688339767
UCHUMARCA;-7.02610065887; -77.8058860098
PARANDAY;-7.88841109994; -78.6989089943
SINSICAP;-7.75449188887; -78.779191973
LAREDO;-8.1052642529; -78.85509025
COCHORCO;-7.82158853462; -77.6960827397
URPAY;-8.32818184837; -77.3755566732
MARCABAL;-7.68491409966; -77.9416838945
PURUS;-10.3734950996; -71.5823157048
PADRE ABAD;-8.89860998311; -75.6259548211
CURIMANA;-8.41737993718; -75.297112896
YARINACOCHA;-8.24848101259; -74.6566903576
ICHOCAN;-7.40608244471; -78.0597912649
ENCAÑ‘ADA;-6.98522041196; -78.4029203885
OXAMARCA;-7.05929467094; -78.061343641
SOROCHUCO;-6.93421575382; -78.2971832825
CHORRILLOS;-12.1926462918; -77.0059862868
JAUJA;-11.7740854362; -75.491137534
DEAN VALDIVIA;-17.0980028517; -71.8294183428
CHIVAY;-15.6400945836; -71.5501476801
CAYLLOMA;-15.1516894374; -71.7966151105
SAYLA;-15.3249820755; -73.2453333076
CARAVELI;-15.8291785496; -73.3318178743
ATIQUIPA;-15.6892008654; -74.3036795322
CHALA;-15.7695009658; -74.1897429883
HUANUHUANU;-15.5557413578; -74.0628268095
ARENAL;-4.89957308015; -81.0300369215
POMATA;-16.3566601267; -69.2882221842
PICHACANI;-16.2398956117; -70.1584592928
PLATERIA;-15.9809689175; -69.8602637745
PUEBLO NUEVO;-14.124513803; -75.6758085427
LURICOCHA;-12.860810717; -74.2744318942
SANTA ROSA;-12.7646248054; -73.789299903
LLOCHEGUA;-12.4444380456; -74.0825440591
